Key	default	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
ThingDef&APM_PsionicChip.description	A psychic-command mechanoid micro-organ infused with an Archotech echo of martial authority. Generates localized command fields, amplifying allied effectiveness. It is necessary to produce certain advanced types of mechanoids and equipment. A mechanitor can study this chip to help unlock higher tiers of mechtech research.							一枚被注入了级外智能所留军事权威回响的灵能指挥机械体微器官。它能生成局部指挥场，放大友军的作战效能。它是生产某些高级机械体与装备的必需品。机械师可以研究这块芯片，以协助解锁更高层级的机械科技研究。				Пси-командный микроорган механоидов, наполненный архотековым эхом военной власти. Создаёт локализованные командные поля, повышая эффективность союзников. Необходим для производства некоторых продвинутых типов механоидов и снаряжения. Механитор может изучить этот чип, чтобы разблокировать более высокие уровни исследований мехатехники.	Психокомандний мікроорган механоїдів, просякнутий архотековим відлунням військової влади. Генерує локалізовані командні поля, підсилюючи ефективність союзників. Необхідний для виробництва певних просунутих типів механоїдів і спорядження. Механітор може дослідити цей чип, щоб розблокувати вищі рівні досліджень мехтехнологій.		一枚被注入了級外智能所留軍事權威迴響的靈能指揮機械體微器官。它能生成局部指揮場，放大友軍的作戰效能。它是生產某些高階機械體與裝備的必需品。機械師可以研究這塊晶片，以協助解鎖更高層級的機械科技研究。														
ThingDef&APM_PsionicChip.comps.0.jobString	Analyze chip							分析芯片				Изучить чип	Дослідити чип		分析晶片														
ThingDef&APM_ExtraChip.label	extrasensory amplification chip							超感官增幅芯片				чип усиления чувствительности	чип екстрасенсорного підсилення		超感官增幅晶片														
ThingDef&APM_ExtraChip.description	A emotion weaving mechanoid micro-organ engineered to magnify and regulate extrasensory mental force. It artificially amplifies emotions and the resulting psychic energy while limiting damage to the mind. It is necessary to produce certain advanced types of mechanoids and equipment. A mechanitor can study this chip to help unlock higher tiers of mechtech research.							一种编织情感的机械体微器官，经设计用于放大并调节超感官的精神力量。它能人为强化情感以及由此产生的灵能，同时限制对心智造成的损伤。它是生产某些高级机械体与装备的必需品。机械师可以研究这块芯片，以协助解锁更高层级的机械科技研究。				Микроорган механоидов, сплетающий эмоции, разработанный для усиления и регулирования внечувственной ментальной силы. Он искусственно усиливает эмоции и возникающую пси-энергию, ограничивая при этом урон для разума. Необходим для производства некоторых продвинутых типов механоидов и снаряжения. Механитор может изучить этот чип, чтобы разблокировать более высокие уровни исследований мехатехники.	Мікроорган механоїдів, що плете емоції: його створено для підсилення та регулювання екстрасенсорної ментальної сили. Він штучно підсилює емоції й похідну психічну енергію, обмежуючи при цьому шкоду для розуму. Необхідний для виробництва певних просунутих типів механоїдів і спорядження. Механітор може дослідити цей чип, щоб розблокувати вищі рівні досліджень мехтехнологій.		一種編織情感的機械體微器官，經設計用於放大並調節超感官的精神力量。它能人為強化情感以及由此產生的靈能，同時限制對心智造成的損傷。它是生產某些高階機械體與裝備的必需品。機械師可以研究這塊晶片，以協助解鎖更高層級的機械科技研究。														
ThingDef&APM_ExtraChip.comps.0.jobString	Analyze chip							分析芯片				Изучить чип	Дослідити чип		分析晶片														
ThingDef&APM_PsyfluxChip.label	psyflux projection chip							灵能通量投射芯片				чип проекции пси-потока	чип проекції псифлюксу		靈能通量投射晶片														
ThingDef&APM_PsyfluxChip.description	A perception-warping mechanoid micro-organ that regulates rapid displacement, charged-particle emissions, and brief periods of psychic imperceptibility. It is necessary to produce certain advanced types of mechanoids and equipment. A mechanitor can study this chip to help unlock higher tiers of mechtech research.							一枚扭曲感知的机械体微器官，负责调控快速位移、带电粒子发射，以及短暂的灵能不可感知状态。它是生产某些高级机械体与装备的必需品。机械师可以研究这块芯片，以协助解锁更高层级的机械科技研究。				Искажающий восприятие микроорган механоидов, регулирующий быстрое перемещение, испускание заряженных частиц и короткие периоды пси-невидимости. Необходим для производства некоторых продвинутых типов механоидов и снаряжения. Механитор может изучить этот чип, чтобы разблокировать более высокие уровни исследований мехатехники.	Мікроорган механоїдів, що викривлює сприйняття: він регулює швидке переміщення, випромінювання заряджених частинок і короткі періоди психічної невловимості. Необхідний для виробництва певних просунутих типів механоїдів і спорядження. Механітор може дослідити цей чип, щоб розблокувати вищі рівні досліджень мехтехнологій.		一枚扭曲感知的機械體微器官，負責調控快速位移、帶電粒子發射，以及短暫的靈能不可感知狀態。它是生產某些高階機械體與裝備的必需品。機械師可以研究這塊晶片，以協助解鎖更高層級的機械科技研究。														
ThingDef&APM_PsyfluxChip.comps.0.jobString	Analyze chip							分析芯片				Изучить чип	Дослідити чип		分析晶片														
ThingDef&APM_Mech_Aegis.label	Aegis							神盾				эгида	егіда		神盾														
ThingDef&APM_Mech_Aegis.description	The Aegis is a mighty mechanoid that sacrifices offensive capabilities for defensive mastery. The phrase 'The best defense is a good offense' rings true with the Aegis' dual shields.							神盾是一台强大的机械体，它以牺牲进攻能力为代价，换取防守上的极致造诣。「最好的防守就是进攻」这句老话，在神盾的双盾上得到了印证。				Эгида — мощный механоид, который жертвует наступательными возможностями ради мастерства защиты. Поговорка «Лучшая защита — это нападение» полностью подтверждается двойными щитами эгиды.	Егіда — могутній механоїд, що жертвує наступальними можливостями заради майстерності оборони. Прислів'я «Найкращий захист — це напад» якнайкраще підтверджується парними щитами егіди.		神盾是一台強大的機械體，它以犧牲進攻能力為代價，換取防守上的極致造詣。「最好的防守就是進攻」這句老話，在神盾的雙盾上得到了印證。														
PawnKindDef&APM_Mech_Aegis.label	Aegis							神盾				эгида	егіда		神盾														
AbilityDef&APM_CelerusBlink.label	Blink							闪烁				скачок	стрибок		閃爍														
AbilityDef&APM_CelerusBlink.description	Active onboard "blink" micro skip drive, skip to target loction.							折叠施法者周围的空间，并瞬间将其闪烁到附近所选位置，留下不稳定的暗影碎片。				Активация бортового микропривода скачка для мгновенного перемещения в указанную точку.	Активувати бортовий мініатюрний стрибковий двигун і миттєво переміститися у вибрану точку.		摺疊施法者周圍的空間，並瞬間將其閃爍到附近所選位置，留下不穩定的暗影碎片。														
ThingDef&APM_Mech_Conqueror_DMR.label	carabine conqueror							卡宾征服者				завоеватель (карабин)	завойовник (карабін)		卡賓征服者														
ThingDef&APM_Mech_Conqueror_DMR.description	The conqueror is an all around infantry mechanoid created to balance out the specializations of the existing scyther and lancer type mechanoids. They have additional strength in numbers though, their systems able to link between other allied conquerors in range, increasing their processing power and in turn, their effectiveness together. Additionally, one unit in a group can choose to overclock their shared processing unit, giving nearby conquerors a larger boost, at the cost of entirely frying the overlocked unit’s physical components.\nThis one is armed with a highly powered Charge Carbine.							征服者是一台全能型步兵机械体，其设计目的是平衡现有镰刀机械体与长枪机械体各自的专精。它们还拥有数量带来的额外优势：其系统能够与射程内的其他友方征服者建立连接，提升运算能力，进而提高整体的作战效能。此外，队伍中的一台单位可以选择超频它们共享的运算单元，为附近的征服者带来更大的增益，代价是彻底烧毁该超频单元的物理部件。 \n 这一台装备着高功率的电荷卡宾枪。				Завоеватель — универсальный пехотный механоид, созданный для балансировки специализаций существующих типов механоидов «скирмишер» и «лансер». Они обладают дополнительной силой за счет численности: их системы способны объединяться в сеть с другими союзными завоевателями в радиусе действия, увеличивая их вычислительную мощность и общую эффективность. Кроме того, один из юнитов в группе может перегрузить общий вычислительный модуль, давая ближайшим завоевателям мощный прирост характеристик ценой полного выхода из строя физических компонентов перегруженного устройства. \n Этот экземпляр вооружен мощным зарядовым карабином.	Завойовник — універсальний піхотний механоїд, створений, щоб урівноважити спеціалізації наявних механоїдів типів «женець» і «улан». Вони мають додаткову силу в кількості: їхні системи здатні з'єднуватися з іншими союзними завойовниками в радіусі дії, підвищуючи обчислювальну потужність, а отже, й спільну ефективність. Крім того, одна одиниця в групі може перевантажити свій спільний обчислювальний блок, даючи ближнім завойовникам більший приріст ціною повного спалення власних фізичних компонентів. \n Цей механоїд озброєний високопотужним енергокарабіном.		征服者是一台全能型步兵機械體，其設計目的是平衡現有鐮刀機械體與長槍機械體各自的專精。它們還擁有數量帶來的額外優勢：其系統能夠與射程內的其他友方征服者建立連結，提升運算能力，進而提高整體的作戰效能。此外，隊伍中的一台單位可以選擇超頻它們共享的運算單元，為附近的征服者帶來更大的增益，代價是徹底燒毀該超頻單元的物理部件。 \n 這一台裝備著高功率的電荷卡賓槍。														
PawnKindDef&APM_Mech_Conqueror_DMR.label	carabine conqueror							卡宾征服者				завоеватель (карабин)	завойовник (карабін)		卡賓征服者														
ThingDef&APM_Mech_Conqueror_AR.label	blaster conqueror							爆破征服者				завоеватель (бластер)	завойовник (гвинтівка)		爆破征服者														
ThingDef&APM_Mech_Conqueror_AR.description	The conqueror is an all around infantry mechanoid created to balance out the specializations of the existing scyther and lancer type mechanoids. They have additional strength in numbers though, their systems able to link between other allied conquerors in range, increasing their processing power and in turn, their effectiveness together. Additionally, one unit in a group can choose to overclock their shared processing unit, giving nearby conquerors a larger boost, at the cost of entirely frying the overlocked unit’s physical components.\nThis one is armed with a powerful Charge Blaster.							征服者是一台全能型步兵机械体，其设计目的是平衡现有镰刀机械体与长枪机械体各自的专精。它们还拥有数量带来的额外优势：其系统能够与射程内的其他友方征服者建立连接，提升运算能力，进而提高整体的作战效能。此外，队伍中的一台单位可以选择超频它们共享的运算单元，为附近的征服者带来更大的增益，代价是彻底烧毁该超频单元的物理部件。 \n 这一台装备着威力强大的电荷爆破枪。				Завоеватель — универсальный пехотный механоид, созданный для балансировки специализаций существующих типов механоидов «скирмишер» и «лансер». Они обладают дополнительной силой за счет численности: их системы способны объединяться в сеть с другими союзными завоевателями в радиусе действия, увеличивая их вычислительную мощность и общую эффективность. Кроме того, один из юнитов в группе может перегрузить общий вычислительный модуль, давая ближайшим завоевателям мощный прирост характеристик ценой полного выхода из строя физических компонентов перегруженного устройства. \n Этот экземпляр вооружен мощным зарядовым бластером.	Завойовник — універсальний піхотний механоїд, створений, щоб урівноважити спеціалізації наявних механоїдів типів «женець» і «улан». Вони мають додаткову силу в кількості: їхні системи здатні з'єднуватися з іншими союзними завойовниками в радіусі дії, підвищуючи обчислювальну потужність, а отже, й спільну ефективність. Крім того, одна одиниця в групі може перевантажити свій спільний обчислювальний блок, даючи ближнім завойовникам більший приріст ціною повного спалення власних фізичних компонентів. \n Цей механоїд озброєний потужним бластером.		征服者是一台全能型步兵機械體，其設計目的是平衡現有鐮刀機械體與長槍機械體各自的專精。它們還擁有數量帶來的額外優勢：其系統能夠與射程內的其他友方征服者建立連結，提升運算能力，進而提高整體的作戰效能。此外，隊伍中的一台單位可以選擇超頻它們共享的運算單元，為附近的征服者帶來更大的增益，代價是徹底燒毀該超頻單元的物理部件。 \n 這一台裝備著威力強大的電荷爆破槍。														
PawnKindDef&APM_Mech_Conqueror_AR.label	blaster conqueror							爆破征服者				завоеватель (бластер)	завойовник (гвинтівка)		爆破征服者														
ThingDef&APM_Mech_Conqueror_SMG.label	spitter conqueror							喷吐征服者				завоеватель (пулемет)	завойовник (кулемет)		噴吐征服者														
ThingDef&APM_Mech_Conqueror_SMG.description	The conqueror is an all around infantry mechanoid created to balance out the specializations of the existing scyther and lancer type mechanoids. They have additional strength in numbers though, their systems able to link between other allied conquerors in range, increasing their processing power and in turn, their effectiveness together. Additionally, one unit in a group can choose to overclock their shared processing unit, giving nearby conquerors a larger boost, at the cost of entirely frying the overlocked unit’s physical components.\nThis one is armed with a powerful Charge Spitter.							征服者是一台全能型步兵机械体，其设计目的是平衡现有镰刀机械体与长枪机械体各自的专精。它们还拥有数量带来的额外优势：其系统能够与射程内的其他友方征服者建立连接，提升运算能力，进而提高整体的作战效能。此外，队伍中的一台单位可以选择超频它们共享的运算单元，为附近的征服者带来更大的增益，代价是彻底烧毁该超频单元的物理部件。 \n 这一台装备着威力强大的电荷喷吐枪。				Завоеватель — универсальный пехотный механоид, созданный для балансировки специализаций существующих типов механоидов «скирмишер» и «лансер». Они обладают дополнительной силой за счет численности: их системы способны объединяться в сеть с другими союзными завоевателями в радиусе действия, увеличивая их вычислительную мощность и общую эффективность. Кроме того, один из юнитов в группе может перегрузить общий вычислительный модуль, давая ближайшим завоевателям мощный прирост характеристик ценой полного выхода из строя физических компонентов перегруженного устройства. \n Этот экземпляр вооружен мощным зарядовым распылителем.	Завойовник — універсальний піхотний механоїд, створений, щоб урівноважити спеціалізації наявних механоїдів типів «женець» і «улан». Вони мають додаткову силу в кількості: їхні системи здатні з'єднуватися з іншими союзними завойовниками в радіусі дії, підвищуючи обчислювальну потужність, а отже, й спільну ефективність. Крім того, одна одиниця в групі може перевантажити свій спільний обчислювальний блок, даючи ближнім завойовникам більший приріст ціною повного спалення власних фізичних компонентів. \n Цей механоїд озброєний потужним енергокулеметом.		征服者是一台全能型步兵機械體，其設計目的是平衡現有鐮刀機械體與長槍機械體各自的專精。它們還擁有數量帶來的額外優勢：其系統能夠與射程內的其他友方征服者建立連結，提升運算能力，進而提高整體的作戰效能。此外，隊伍中的一台單位可以選擇超頻它們共享的運算單元，為附近的征服者帶來更大的增益，代價是徹底燒毀該超頻單元的物理部件。 \n 這一台裝備著威力強大的電荷噴吐槍。														
PawnKindDef&APM_Mech_Conqueror_SMG.label	spitter conqueror							喷吐征服者				завоеватель (пулемёт)	завойовник (кулемет)		噴吐征服者														
AbilityDef&APM_UltimateSacrifice.label	ultimate sacrifice							终极牺牲				высшая жертва	остання жертва		終極犧牲														
AbilityDef&APM_UltimateSacrifice.description	By rapidly performing complex aiming, movement and logic calculations until its processing units liquify from the heat, this mechanoid grants its nearby allies a temporary stat buff							通过高速执行复杂的瞄准、移动与逻辑运算，直到处理单元因高热而熔毁，这台机械体为附近的盟友提供一次临时属性加成。				Быстро выполняя сложные расчеты прицеливания, движения и логистики до тех пор, пока их процессорные блоки не расплавятся от жары, этот механоид наделяет ближайших союзников временным усилением характеристик.	Один із Завойовників може пожертвувати собою, щоб дати потужне підсилення всім союзним Завойовникам у радіусі дії.		透過高速執行複雜的瞄準、移動與邏輯運算，直到處理單元因高熱而熔毀，這台機械體為附近的盟友提供一次臨時屬性加成。														
HediffDef&APM_Hediff_UltimateSacrifice.label	ultimate sacrifice							终极牺牲				абсолютная жертва	вища жертва		終極犧牲														
HediffDef&APM_Hediff_UltimateSacrifice.description	Ultimate Sacrifice - One conqueror sacrifice himself to give a powerful buff to all allied conquerors in radius.							终极牺牲——一名征服者牺牲自己，为半径内所有友方征服者提供强力增益。				Абсолютная жертва — один из завоевателей жертвует собой, чтобы дать мощное усиление всем союзным завоевателям в радиусе действия.	Один із Завойовників може пожертвувати собою, щоб дати потужне підсилення всім союзним Завойовникам у радіусі дії.		終極犧牲——一名征服者犧牲自己，為半徑內所有友方征服者提供強力增益。														
ThingDef&APM_Mech_Dominus.label	Dominus							主宰				доминус	домінус		主宰														
ThingDef&APM_Mech_Dominus.description	Three powerful mechanoid types were created by an Archotech mind in an attempt to create a central commander of all mechanoid forces. Influenced by the Old Earth nation of Rome, the Dominus provides considerable buffs to nearby allies and personally challenges perceived threats in 1v1 melee combat. The pure force of its determination manifests in a psychic maelstrom forming around those it challenges, summoning a shield generator and increasing damage taken until one stands victorious or it exhausts its will after a certain amount of time. If this occurs, both duelists will be significantly weakened for a period. If a victor emerges, the opposite will occur. It can alternatively channel its will into a temporary wave of energy for its allies. Additionally, mechanitors can extend their command range in a radius around this mech if under their control.							三款强大的机械体型号由某个级外智能创造而出，试图以此打造统率所有机械体部队的核心指挥官。受古地球罗马的启发，主宰为附近的友军提供可观的增益，并亲自向所感知到的威胁发起一对一的近战挑战。它那纯粹的决心之力会化作灵能漩涡，笼罩在它挑战的对象周围，召唤出护盾发生器并提高所受伤害，直到有一方胜出，或是在一定时间后它的意志耗尽。若出现后一种情况，两名决斗者都会在一段时间内被显著削弱；若决出胜者，则效果相反。此外，它也可以将意志转化为一道为友军而生的短暂能量波。另外，若这台机甲受机械师控制，机械师可以将指挥范围延伸到它周围的半径内。				Три мощных типа механоидов были созданы разумом архотеки в попытке сформировать центрального командира всех сил механоидов. Надохновленный римской нацией Старой Земли, доминус предоставляет значительные усиления ближайшим союзникам и лично бросает вызов воспринимаемым угрозам в рукопашном бою 1 на 1. Чистая сила его решимости материализуется в виде психического водоворота вокруг тех, кому брошен вызов, призывая генератор щита и увеличивая получаемый урон, пока один из них не одержит победу или воля не исчерпает себя по истечении времени. В этом случае оба дуэлянта на время значительно ослабнут. Если же появится победитель, произойдет обратное. В качестве альтернативы доминус может направить свою волю в временную волну энергии для поддержки союзников. Кроме того, под управлением механітора этот мех расширяет радиус его командной зоны.	Три могутні моделі механоїдів були створені розумом Архотеха у спробі створити єдиного головнокомандувача всіх сил механоїдів. Натхнений Давнім Римом Старої Землі, Домінус надає значні підсилення союзникам поруч і особисто кидає виклик поміченим загрозам у ближньому бою один на один. Чиста сила його рішучості виявляється у психічному вихорі, що виникає навколо тих, кому кинуто виклик: з'являється генератор щита, а отримуваний урон зростає, доки хтось не здобуде перемогу або Домінус не вичерпає свою рішучість через певний час. Якщо це станеться, обидва дуелянти будуть значно послаблені на деякий час. Якщо ж з'явиться переможець — станеться протилежне. Як альтернативу Домінус може спрямувати свою волю в короткочасну хвилю енергії для союзників. Крім того, якщо цей механоїд перебуває під керуванням механітора, той може розширити свій командний радіус на зону навколо Домінуса.		三款強大的機械體型號由某個級外智能創造而出，試圖以此打造統率所有機械體部隊的核心指揮官。受古地球羅馬的啟發，主宰為附近的友軍提供可觀的增益，並親自向所感知到的威脅發起一對一的近戰挑戰。它那純粹的決心之力會化作靈能漩渦，籠罩在它挑戰的對象周圍，召喚出護盾產生器並提高所受傷害，直到有一方勝出，或是在一定時間後它的意志耗盡。若出現後一種情況，兩名決鬥者都會在一段時間內被顯著削弱；若決出勝者，則效果相反。此外，它也可以將意志轉化為一道為友軍而生的短暫能量波。另外，若這台機甲受機械師控制，機械師可以將指揮範圍延伸到它周圍的半徑內。														
AbilityDef&APM_PressTheAttack.label	Press The Attack							乘胜追击				развитие атаки	натиск		乘勝追擊														
AbilityDef&APM_PressTheAttack.description	The Dominus emits a psychic pulse that influences nearby allies to ignore pain, move faster and stay in high spirits.							主宰发出一道灵能脉冲，促使附近的盟友无视疼痛、行动更快并保持高昂士气。				Доминус испускает психический импульс, побуждающий ближайших союзников игнорировать боль, двигаться быстрее и сохранять бодрость духа.	Домінус випромінює психічний імпульс, що спонукає ближніх союзників ігнорувати біль, рухатися швидше й зберігати бадьорість духу.		主宰發出一道靈能脈衝，促使附近的盟友無視疼痛、行動更快並保持高昂士氣。														
ThingDef&APM_Mech_Dynamo.label	dynamo							迪纳摩				динамо	динамо		迪納摩														
ThingDef&APM_Mech_Dynamo.description	An hybrid of mechanoid and and mechhive infrastructure, the dynamo is outfitted with an oversized internal reactor. The drawbacks of its increased power output means that vanometric means are not enough to fuel this reactor, requiring uranium to stay active. It has the ability to anchor itself in the ground and attach itself to an existing power grid as well as use its energy to act as a mobile shield generator, able to process excess uranium to regenerate the durability of its shield.							作为机械体与机械巢群基础设施的混合体，迪纳摩配备了一台超规格的内部反应堆。输出功率提升的代价是，瓦诺计量电池已不足以驱动这座反应堆，它需要铀才能维持运转。它能够锚定在地面并接入已有的电网，也能用自己的能量充当移动式护盾发生器，并消耗多余的铀来恢复护盾的耐久度。				Гибрид механоида и инфраструктуры улья, динамо оснащён мощным внутренним реактором. Вырабатываемая им колоссальная энергия требует уранового топлива для поддержания работы, поэтому ванометрических элементов ему недостаточно. Динамо способен укореняться в земле, подсоединяясь к существующей энергосети, а также использовать свою энергию как мобильный генератор щита, перерабатывая излишки урана для восстановления его прочности.	Гібрид механоїда й інфраструктури мехрою: динамо оснащене надмірно великим внутрішнім реактором. Зворотний бік його підвищеної вихідної потужності в тому, що ванометричних джерел замало для живлення цього реактора — потрібен уран, щоб він працював. Динамо здатне закріплюватися в ґрунті й підключатися до наявної енергомережі, а також використовувати свою енергію як мобільний генератор щита, переробляючи надлишок урану для відновлення міцності щита.		作為機械體與機械巢群基礎設施的混合體，迪納摩配備了一台超規格的內部反應爐。輸出功率提升的代價是，瓦諾計量電池已不足以驅動這座反應爐，它需要鈾才能維持運轉。它能夠錨定在地面並接入已有的電網，也能用自己的能量充當移動式護盾產生器，並消耗多餘的鈾來恢復護盾的耐久度。														
PawnKindDef&APM_Mech_Dynamo.label	dynamo							迪纳摩				динамо	динамо		迪納摩														
ThingDef&APM_Mech_Frostivus.label	Frostivus							霜语者				морозус	морозус		霜語者														
ThingDef&APM_Mech_Frostivus.description	A very unique mechanoid, the frostivus is a mobile cryogenic chamber. It consumes organic material such as foodstuffs to store, freeze and dispense at request. It can be commanded to seal a targeted pawn inside of itself to store for the mechhive to later utilize for its twisted machinations.							一台极为独特的机械体，霜语者是一间可移动的低温仓。它消耗食物之类的有机材料，按需进行储存、冷冻与分发。也可以命令它将指定的小人封入自己体内保存，供机械巢群日后用于其扭曲的图谋。				Очень необычный механоид, представляющий собой мобильную криогенную камеру. Он поглощает органические материалы и продукты питания для хранения, заморозки и выдачи по требованию. Ему также можно приказать запечатать внутри себя цель для последующего использования ульем механоидов в своих зловещих целях.	Вельми незвичайний механоїд: морозус — це мобільна кріогенна камера. Він поглинає органічні матеріали, наприклад харчі, щоб зберігати, заморожувати й видавати їх на вимогу. Йому можна наказати запечатати всередині себе вибраного персонажа, щоб мехрій згодом використав його у своїх спотворених задумах.		一台極為獨特的機械體，霜語者是一間可移動的低溫艙。它消耗食物之類的有機材料，按需進行儲存、冷凍與分發。也可以命令它將指定的小人封入自己體內保存，供機械巢群日後用於其扭曲的圖謀。														
PawnKindDef&APM_Mech_Frostivus.label	frostivus							霜语者				морозус	морозус		霜語者														
AbilityDef&APM_Ability_CryptoSwallow.label	Crypto Swallow							低温吞噬				Криопоглощение	кріопоглинання		低溫吞噬														
AbilityDef&APM_Ability_CryptoSwallow.description	Engulfs a humanlike pawn or corpse, sealing it within an internal cryo-chamber. Preserves the target in suspended animation until released.							吞没活体殖民者或尸体，并将其封入内部低温舱，直到被释放。				Поглощает гуманоида или труп, запечатывая его во внутренней криокамере. Удерживает цель в состоянии анабиоза до момента извлечения.	Поглинути живу пішку або тіло й запечатати всередині внутрішньої кріокамери до випуску.		吞沒活體殖民者或屍體，並將其封入內部低溫艙，直到被釋放。														
ThingDef&APM_Mech_Gazer.label	Gazer							凝视者				созерцатель	спостерігач		凝視者														
ThingDef&APM_Mech_Gazer.description	A different application of hellsphere technology resulted in the Gazer, a mechanoid clearly identified by its primary ocular beam emitter. This weapon is strong enough that the gazer must lock itself in place and divert all motor functions to stabilizing itself when firing. Even then, a significant charge time is required. The resultant beam can obliterate anything in front of it, even doing decent damage to structures. When pressed in close quarters, the Gazer can instead discharge the accumulated energy outward as a violent shockwave that hurls attackers back and disrupts nearby mechanized targets.							地狱球技术的另一种应用造就了凝视者——一台以主眼光束发射器为显著特征的机械体。其武器威力强大，开火时凝视者必须锁定自身，并将全部运动机能转移到稳定姿态上，即便如此仍需较长的蓄能时间。所发射的光束能摧毁前方的一切，甚至对建筑造成可观伤害。在近距离受迫时，凝视者会将蓄积的能量向外释放为猛烈冲击波，将攻击者击退并扰乱附近机械化目标。				Иное применение технологий адской сферы привело к созданию созерцателя — механоида, легко узнаваемого по его главному окулярному излучателю. Это оружие настолько мощное, что перед выстрелом механоид вынужден фиксировать корпус на месте и перенаправлять все моторные функции на стабилизацию. Но даже при этом требуется длительная зарядка. Итоговый луч способен испепелить всё на своём пути, нанося ощутимый урон даже постройкам. В ближнем бою созерцатель может высвободить накопленную энергию наружу в виде разрушительной ударной волны, отбрасывающей нападающих и выводящей из строя соседние механизмы.	Інше застосування технології дезінтегратора породило Спостерігача — механоїда, що його легко впізнати за очною променевою установкою. Ця зброя настільки потужна, що під час стрільби Спостерігачеві доводиться фіксуватися на місці, спрямовуючи всі рухові функції на власну стабілізацію. Та навіть тоді потрібен чималий час на заряджання. Випромінюваний промінь здатен спопелити все перед собою, завдаючи при цьому відчутної шкоди навіть спорудам. А опинившись у ближньому бою з ворогом, Спостерігач може натомість вивільнити накопичену енергію у вигляді потужної ударної хвилі довкола себе, що відкидає нападників і виводить з ладу ближніх механоїдів.		地獄球技術的另一種應用造就凝視者——一台以主眼光束發射器為顯著特徵的機械體。其武器威力強大，開火時凝視者必須鎖定自身，並將全部運動機能轉移到穩定姿態上，即便如此仍需較長的蓄能時間。所發射的光束能摧毀前方的一切，甚至對建築造成可觀傷害。在近距離受迫時，凝視者會將蓄積的能量向外釋放為猛烈衝擊波，將攻擊者擊退並擾亂附近機械化目標。														
PawnKindDef&APM_Mech_Gazer.label	gazer							凝视者				созерцатель	спостерігач		凝視者														
ThingDef&APM_Mech_Haze.label	Haze							迷雾				мгла	завіса		迷霧														
ThingDef&APM_Mech_Haze.description	A mechanoid experiment into organic area denial, the haze can pump tox gas into the area around it. Its melee attacks are especially lethal, inflicting toxic buildup upon hit. The intellect of the mechhive knows no bounds, even repurposing its waste products to further its goals.							机械巢群在有机体区域封锁上的一次实验：迷雾能够向周围区域泵送毒气。它的近战攻击尤为致命，命中时会造成毒素累积。机械巢群的智能没有边界，甚至连自身的废弃物都能被重新利用，以推进它的目标。				Эксперимент улья по органическому сдерживанию территорий. Мгла способна накачивать токсичный газ в окружающее пространство. Её атаки ближнего боя смертоносны и отравляют цель при каждом ударе. Разум улья не знает границ, находят применение даже собственным токсичным отходам.	Експеримент механоїдів з органічного стримування території: завіса здатна нагнітати токсичний газ у простір навколо себе. Її атаки ближнього бою особливо смертоносні — при влучанні вони викликають накопичення токсинів. Інтелект мехрою не знає меж: він навіть знаходить застосування власним відходам заради своїх цілей.		機械巢群在有機體區域封鎖上的一次實驗：迷霧能夠向周圍區域泵送毒氣。它的近戰攻擊尤為致命，命中時會造成毒素累積。機械巢群的智能沒有邊界，甚至連自身的廢棄物都能被重新利用，以推進它的目標。														
PawnKindDef&APM_Mech_Haze.label	haze							迷雾				мгла	завіса		迷霧														
